source_id,source_record_id,row_type,subject_clean,entry_clean,attribute_name,attribute_value_raw,strength_marker_raw,strength_label,strength_score,strength_method,parser_confidence,requires_review
src_synthetic_main_pairing,src_synthetic_main_pairing:14921e5fd584428f:1,pairing_candidate,basil,tomato,,,,,,unavailable,medium,0
src_synthetic_main_pairing,src_synthetic_main_pairing:15477ccecbd8fc39:1,attribute,basil,Tips: add near the end,tips,add near the end,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:15e57f1ada561439:1,attribute,tomato,"Taste: sweet, sour, umami",taste,"sweet, sour, umami",,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:173b9dbd739c2811:1,affinity_group,apple,apple + cinnamon + walnut,,,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:186a648f977d0e7f:1,pairing_candidate,apple,caramel,,,*+uppercase,holy_grail,4,typographic_marker,medium,0
src_synthetic_main_pairing,src_synthetic_main_pairing:2a9b0663acedbb3f:1,pairing_candidate,apple,walnut,,,uppercase,very_high,3,typographic_marker,medium,0
src_synthetic_main_pairing,src_synthetic_main_pairing:2ced01d74813128e:1,attribute,apple,"Taste: sweet, tart",taste,"sweet, tart",,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:39104c799c3eb43f:1,affinity_header,apple,flavor affinities,,,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:575a8f7b853778c3:1,attribute,apple,Weight: medium,weight,medium,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:582ae4c3ac02f08f:1,pairing_candidate,tomato,basil,,,,,,unavailable,medium,0
src_synthetic_main_pairing,src_synthetic_main_pairing:79bb8395114c233c:1,pairing_candidate,tomato,garlic,,,uppercase,very_high,3,typographic_marker,medium,0
src_synthetic_main_pairing,src_synthetic_main_pairing:861c6b4637e25665:1,affinity_group,tomato,tomato + basil + olive oil,,,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:c0f934063c95ba65:1,attribute,apple,"Techniques: bake, poach, raw",techniques,"bake, poach, raw",,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:c12e7c0ae0154aad:1,attribute,apple,Season: autumn,season,autumn,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:d5137589315f0971:1,affinity_header,tomato,flavor affinities,,,,,,unavailable,high,0
src_synthetic_main_pairing,src_synthetic_main_pairing:e1e8a3df70026ea7:1,pairing_candidate,apple,cinnamon,,,,,,unavailable,medium,0
src_synthetic_quality,src_synthetic_quality:bcf9712f7ea84ca9:1,pairing_candidate,chard,anchovy,,,heaven,holy_grail,4,explicit_quality_label,medium,0
src_synthetic_quality,src_synthetic_quality:d4b099a7e80f7282:1,pairing_candidate,chard,bacon,,,high_rec,very_high,3,explicit_quality_label,medium,0
src_synthetic_quality,src_synthetic_quality:dbd7cae5a9a6b492:1,pairing_candidate,chard,blue cheese,,,rec,recommended,1,explicit_quality_label,medium,0
src_synthetic_quality,src_synthetic_quality:dc202876ba449c83:1,pairing_candidate,chard,basil,,,freq_rec,frequent,2,explicit_quality_label,medium,0
